nohup: ignoring input
[2026-08-03 15:09:31,363: INFO/MainProcess] beat: Starting...
[2026-08-03 15:37:35,670: INFO/MainProcess] Task app.tasks.snmp_poll_task[6bb788ad-8794-47bb-b2df-c47956b5366b] succeeded in 1.4926085420011077s: 'green'
[2026-08-03 15:37:35,670: INFO/MainProcess] Task app.tasks.run_snmp_poll_sweep_task[928b4bb4-2440-4b16-baa2-9f16f7305a55] succeeded in 4.2593475749999925s: 3
[2026-08-03 15:38:31,410: INFO/MainProcess] Scheduler: Sending due task snmp-poll-sweep (app.tasks.run_snmp_poll_sweep_task)
[2026-08-03 15:38:32,997: INFO/MainProcess] Task app.tasks.snmp_poll_task[04da5299-cfce-4886-9934-3bd7a8ba95d2] succeeded in 1.5824522520015307s: 'green'
[2026-08-03 15:38:34,362: INFO/MainProcess] Task app.tasks.snmp_poll_task[b2350d3d-f366-4b78-bb71-551dc7bf3b64] succeeded in 1.3643785170024785s: 'green'
[2026-08-03 15:38:35,591: INFO/MainProcess] Task app.tasks.snmp_poll_task[0f69f24d-a8c2-4680-980c-37462eb335b6] succeeded in 1.2286363019993587s: 'green'
[2026-08-03 15:38:35,591: INFO/MainProcess] Task app.tasks.run_snmp_poll_sweep_task[5d237eff-c2c2-4b8c-91b8-56a47777bb9d] succeeded in 4.180642214003456s: 3
[2026-08-03 15:39:31,411: INFO/MainProcess] Scheduler: Sending due task snmp-poll-sweep (app.tasks.run_snmp_poll_sweep_task)
[2026-08-03 15:39:32,884: INFO/MainProcess] Task app.tasks.snmp_poll_task[71206741-3057-4de5-b366-4356d7c3bfc7] succeeded in 1.4685047999992094s: 'green'
[2026-08-03 15:39:34,330: INFO/MainProcess] Task app.tasks.snmp_poll_task[04158cd0-0093-4632-8384-9de4deafb593] succeeded in 1.44587003000197s: 'green'
[2026-08-03 15:39:35,701: INFO/MainProcess] Task app.tasks.snmp_poll_task[32a22e2a-b894-445c-9995-2cc61c0a117f] succeeded in 1.370456345997809s: 'green'
[2026-08-03 15:39:35,701: INFO/MainProcess] Task app.tasks.run_snmp_poll_sweep_task[2ca12c65-b851-454e-8727-1f41bc4ed51a] succeeded in 4.289453395998862s: 3
[2026-08-03 15:40:31,411: INFO/MainProcess] Scheduler: Sending due task snmp-poll-sweep (app.tasks.run_snmp_poll_sweep_task)
[2026-08-03 15:40:32,871: INFO/MainProcess] Task app.tasks.snmp_poll_task[701a2f07-5a10-4d5f-858f-ba9186024b5f] succeeded in 1.4568541109983926s: 'green'
[2026-08-03 15:40:34,329: INFO/MainProcess] Task app.tasks.snmp_poll_task[9d417246-7aa9-4fc4-bb09-e372bf29a12f] succeeded in 1.4566646060011408s: 'green'
[2026-08-03 15:40:35,688: INFO/MainProcess] Task app.tasks.snmp_poll_task[9b1eb0e1-3f68-485c-814d-ad9c3efc59ff] succeeded in 1.359436435999669s: 'green'
[2026-08-03 15:40:35,689: INFO/MainProcess] Task app.tasks.run_snmp_poll_sweep_task[96f5c23b-f960-4240-a63a-0522696af2d7] succeeded in 4.277457807002065s: 3
[2026-08-03 15:41:31,411: INFO/MainProcess] Scheduler: Sending due task snmp-poll-sweep (app.tasks.run_snmp_poll_sweep_task)
[2026-08-03 15:41:32,791: INFO/MainProcess] Task app.tasks.snmp_poll_task[0f7439a9-bed1-428a-b349-3222b12eb236] succeeded in 1.376552237001306s: 'green'
[2026-08-03 15:41:34,207: INFO/MainProcess] Task app.tasks.snmp_poll_task[dcf43fc6-b8ec-487a-8288-0d9651347c47] succeeded in 1.414685763000307s: 'green'
